NodeId,SpeedNode,CpuUsageNode,BlocksMinedInLongestChain,TotalBlocksMined,Ratio,Hashing Power
1,1,1,45,47,0.957447,0.5
2,1,1,0,2,NA,0.015625
3,0,0,0,0,NA,0.0015625
4,1,1,0,3,NA,0.015625
5,1,1,0,1,NA,0.015625
6,0,1,0,1,NA,0.015625
7,0,1,0,1,NA,0.015625
8,1,0,0,1,NA,0.0015625
9,1,0,0,0,NA,0.0015625
10,0,1,0,1,NA,0.015625
11,1,0,0,0,NA,0.0015625
12,1,1,0,0,NA,0.015625
13,1,1,1,3,0.333333,0.015625
14,0,1,0,3,NA,0.015625
15,0,0,0,1,NA,0.0015625
16,1,1,0,0,NA,0.015625
17,1,1,0,1,NA,0.015625
18,1,1,0,2,NA,0.015625
19,1,0,0,0,NA,0.0015625
20,1,1,0,0,NA,0.015625
21,0,1,0,1,NA,0.015625
22,1,1,0,3,NA,0.015625
23,0,0,0,0,NA,0.0015625
24,1,0,0,0,NA,0.0015625
25,1,1,0,1,NA,0.015625
26,1,1,0,1,NA,0.015625
27,1,1,1,2,0.5,0.015625
28,1,1,0,1,NA,0.015625
29,1,0,0,0,NA,0.0015625
30,1,1,0,2,NA,0.015625
31,0,1,0,1,NA,0.015625
32,1,1,0,2,NA,0.015625
33,0,0,0,0,NA,0.0015625
34,1,1,0,1,NA,0.015625
35,1,1,1,3,0.333333,0.015625
36,1,1,0,2,NA,0.015625
37,1,1,0,1,NA,0.015625
38,1,0,0,0,NA,0.0015625
39,1,0,0,0,NA,0.0015625
40,1,0,0,0,NA,0.0015625
41,1,1,0,1,NA,0.015625
42,1,0,0,1,NA,0.0015625
43,1,1,0,0,NA,0.015625
44,1,0,0,0,NA,0.0015625
45,1,0,0,0,NA,0.0015625
46,1,0,0,0,NA,0.0015625
47,1,0,0,0,NA,0.0015625
48,1,1,1,1,1,0.015625
49,1,0,0,0,NA,0.0015625
50,1,1,1,4,0.25,0.015625
51,1,0,0,1,NA,0.0015625
