NodeId,SpeedNode,CpuUsageNode,BlocksMinedInLongestChain,TotalBlocksMined,Ratio,Hashing Power
1,1,1,73,81,0.901235,0.5
2,1,0,0,0,NA,0.0015625
3,1,1,1,2,0.5,0.015625
4,1,0,0,1,NA,0.0015625
5,1,1,3,4,0.75,0.015625
6,1,1,2,3,0.666667,0.015625
7,1,1,2,2,1,0.015625
8,0,1,1,4,0.25,0.015625
9,1,1,3,5,0.6,0.015625
10,1,1,1,4,0.25,0.015625
11,1,1,2,3,0.666667,0.015625
12,1,1,4,5,0.8,0.015625
13,1,1,2,4,0.5,0.015625
14,1,1,1,1,1,0.015625
15,1,1,1,2,0.5,0.015625
16,1,1,1,2,0.5,0.015625
17,1,1,4,5,0.8,0.015625
18,0,0,0,0,NA,0.0015625
19,1,0,0,0,NA,0.0015625
20,0,1,6,6,1,0.015625
21,1,1,0,0,NA,0.015625
22,1,0,0,0,NA,0.0015625
23,1,0,1,1,1,0.0015625
24,1,0,0,1,NA,0.0015625
25,1,1,2,4,0.5,0.015625
26,1,1,1,4,0.25,0.015625
27,0,1,0,4,NA,0.015625
28,1,0,0,0,NA,0.0015625
29,1,1,2,3,0.666667,0.015625
30,1,1,1,3,0.333333,0.015625
31,1,1,1,3,0.333333,0.015625
32,1,1,3,3,1,0.015625
33,0,0,0,0,NA,0.0015625
34,1,0,0,0,NA,0.0015625
35,1,1,2,3,0.666667,0.015625
36,1,0,0,0,NA,0.0015625
37,1,0,0,0,NA,0.0015625
38,0,0,0,1,NA,0.0015625
39,1,1,2,3,0.666667,0.015625
40,1,1,0,1,NA,0.015625
41,0,0,0,0,NA,0.0015625
42,1,1,2,3,0.666667,0.015625
43,1,1,0,1,NA,0.015625
44,1,1,1,1,1,0.015625
45,0,0,0,0,NA,0.0015625
46,1,0,0,1,NA,0.0015625
47,0,1,2,4,0.5,0.015625
48,1,0,0,0,NA,0.0015625
49,1,0,0,0,NA,0.0015625
50,1,0,0,0,NA,0.0015625
51,0,0,0,0,NA,0.0015625
